paper_id,file_name,relative_path,category,file_type,file_size,content_hash,canonical_title,authors,year,venue,doi,arxiv_id,source_url,abstract_available,full_text_available,page_count,extraction_status,extraction_quality,duplicate_group,supersedes_or_superseded_by,processing_status,notes
A38298,38298_InstructDubber-Instruction-based-Alignment-for-Zero-shot-Movie-Dubbing.pdf,AILLM-Safety/38298_InstructDubber-Instruction-based-Alignment-for-Zero-shot-Movie-Dubbing.pdf,AILLM-Safety,pdf,2202575,26024fe4e44672426984254467480a442fc32d72422e0922ac378a1a4840991b,InstructDubber: Instruction-based Alignment for Zero-shot Movie Dubbing,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A38532,38532_Knowledge-Enhanced-Image-Captioning-with-Adaptive-Graph-based-Multimodal-Alignment-and-LLM.pdf,AILLM-Safety/38532_Knowledge-Enhanced-Image-Captioning-with-Adaptive-Graph-based-Multimodal-Alignment-and-LLM.pdf,AILLM-Safety,pdf,2578990,5ead1cab0e0da6c32980c6611399e7ec52bf7e9d99ee7289e4333978b22f3b3d,Knowledge-Enhanced Image Captioning with Adaptive Graph-based Multimodal Alignment and LLM (AKGMA),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A38956,38956_Collaborative-Representation-Learning-for-Alignment-of-Tactile-Language-and-Vision-Modalit.pdf,AILLM-Safety/38956_Collaborative-Representation-Learning-for-Alignment-of-Tactile-Language-and-Vision-Modalit.pdf,AILLM-Safety,pdf,1998411,37af3d2d62ab42403ba60d083f1cbf81bed42d63e92ce33845c6e460db1e782b,"Collaborative Representation Learning for Alignment of Tactile, Language, and Vision Modalities (TLV-CoRe)",,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A39003,39003_MyGram-Modality-aware-Graph-Transformer-with-Global-Distribution-for-Multi-modal-Entity-Al.pdf,AILLM-Safety/39003_MyGram-Modality-aware-Graph-Transformer-with-Global-Distribution-for-Multi-modal-Entity-Al.pdf,AILLM-Safety,pdf,932101,80e7eae5d3b561cf4f87dfbbcbb1f2cb81fda270616f936afde703fe5282ac4e,MyGram: Modality-aware Graph Transformer with Global Distribution for Multi-modal Entity Alignment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A39235,39235_Deep-Incomplete-Multi-View-Clustering-via-Hierarchical-Imputation-and-Alignment.pdf,AILLM-Safety/39235_Deep-Incomplete-Multi-View-Clustering-via-Hierarchical-Imputation-and-Alignment.pdf,AILLM-Safety,pdf,1092630,41d79be24d0af1fe7dad34edba48b4f8c857a44b5ca3731a8d5f4167f953d6fd,Deep Incomplete Multi-View Clustering via Hierarchical Imputation and Alignment (DIMVC-HIA),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A39337,39337_FedTopo-Topology-Informed-Representation-Alignment-in-Federated-Learning-Under-Non-IID-Con.pdf,AILLM-Safety/39337_FedTopo-Topology-Informed-Representation-Alignment-in-Federated-Learning-Under-Non-IID-Con.pdf,AILLM-Safety,pdf,10278644,e91ece367b2f12dd9ee6a41481658c718228d1b045b8f16a545ec599b04d6a20,FedTopo: Topology-Informed Representation Alignment in Federated Learning Under Non-I.I.D. Conditions,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A39475,39475_Counterfactual-based-Cognitive-Alignment-In-Context-Learning-for-Relation-Extraction.pdf,AILLM-Safety/39475_Counterfactual-based-Cognitive-Alignment-In-Context-Learning-for-Relation-Extraction.pdf,AILLM-Safety,pdf,1424233,f388e4a8021ea11489e4cd716e2cd5c2a4cb811ef6d6d35162cbdfb3ed391f81,Counterfactual-based Cognitive Alignment In-Context Learning for Relation Extraction (CCA),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A39939,39939_Probability-Distribution-Alignment-and-Low-Rank-Weight-Decomposition-for-Source-Free-Domai.pdf,AILLM-Safety/39939_Probability-Distribution-Alignment-and-Low-Rank-Weight-Decomposition-for-Source-Free-Domai.pdf,AILLM-Safety,pdf,1990096,5af19395e475e1208676f8d1a30ba67cd3cfed5e82c7f6cda469197ce0cb8f14,Probability Distribution Alignment and Low-Rank Weight Decomposition for Source-Free Domain Adaptive Brain Decoding,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40018,40018_TVChain-Leveraging-Textual-Visual-Prompt-Chains-for-Jailbreaking-Large-Vision-Language-Mod.pdf,AILLM-Safety/40018_TVChain-Leveraging-Textual-Visual-Prompt-Chains-for-Jailbreaking-Large-Vision-Language-Mod.pdf,AILLM-Safety,pdf,1489637,74efb8116c84bcba9d4fbf2fdf31879b14487dff48c017ec7fd95bd58ceada22,TVChain: Leveraging Textual-Visual Prompt Chains for Jailbreaking Large Vision-Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40037,40037_FedPKDA-Personalized-Federated-Learning-with-Privacy-Preserving-Knowledge-Dynamic-Alignmen.pdf,AILLM-Safety/40037_FedPKDA-Personalized-Federated-Learning-with-Privacy-Preserving-Knowledge-Dynamic-Alignmen.pdf,AILLM-Safety,pdf,5375265,ccb663934c5f8cec827c9be18b2d840e52404b86781f6280739f4d4de7c0cca0,FedPKDA: Personalized Federated Learning with Privacy-Preserving Knowledge Dynamic Alignment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40136,40136_Hierarchical-Cross-View-Alignment-for-Multi-View-Clustering-via-Decoupled-Information-Dist.pdf,AILLM-Safety/40136_Hierarchical-Cross-View-Alignment-for-Multi-View-Clustering-via-Decoupled-Information-Dist.pdf,AILLM-Safety,pdf,474994,ef85f43d633781cf896943c35c463d87e260bc8399613e1ba58dc29242205352,Hierarchical Cross-View Alignment for Multi-View Clustering via Decoupled Information Distillation (HOARD),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40248,40248_Rethinking-Deep-Alignment-Through-the-Lens-of-Incomplete-Safety-Learning.pdf,AILLM-Safety/40248_Rethinking-Deep-Alignment-Through-the-Lens-of-Incomplete-Safety-Learning.pdf,AILLM-Safety,pdf,173661,78115339e61e65ef7df390ede18baa5d149a747b4db25ecd09350d5fc56471a9,Rethinking Deep Alignment Through the Lens of Incomplete Safety Learning,,2026,AAAI-26,,,,True,True,8,ok,high,,,card-present,
A40296,40296_When-Smiley-Turns-Hostile-Interpreting-How-Emojis-Trigger-LLMs-Toxicity.pdf,AILLM-Safety/40296_When-Smiley-Turns-Hostile-Interpreting-How-Emojis-Trigger-LLMs-Toxicity.pdf,AILLM-Safety,pdf,1490514,a455e31e7c55329b8386e7d084a041075d6fcd1b002a547ad29de7d76ffbcee8,When Smiley Turns Hostile: Interpreting How Emojis Trigger LLMs' Toxicity,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40399,40399_EduGuardBench-A-Holistic-Benchmark-for-Evaluating-the-Pedagogical-Fidelity-and-Adversarial.pdf,AILLM-Safety/40399_EduGuardBench-A-Holistic-Benchmark-for-Evaluating-the-Pedagogical-Fidelity-and-Adversarial.pdf,AILLM-Safety,pdf,565153,5bc9c4bbad6ef49ef7126a28c1c6b0b1b1857a66b9efbbade764effc5ffadb53,EduGuardBench: A Holistic Benchmark for Evaluating the Pedagogical Fidelity and Adversarial Safety of LLMs as Simulated Teachers,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40465,40465_EquaCode-A-Multi-Strategy-Jailbreak-Approach-for-Large-Language-Models-via-Equation-Solvin.pdf,AILLM-Safety/40465_EquaCode-A-Multi-Strategy-Jailbreak-Approach-for-Large-Language-Models-via-Equation-Solvin.pdf,AILLM-Safety,pdf,497956,2459465411e2eb345c1d30517c84ecc650eff341f50fb7f6a493df8affcf9730,EquaCode: A Multi-Strategy Jailbreak Approach for Large Language Models via Equation Solving and Code Completion,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40472,40472_Hidden-in-the-Noise-Unveiling-Backdoors-in-Audio-LLMs-Alignment-Through-Latent-Acoustic-Pa.pdf,AILLM-Safety/40472_Hidden-in-the-Noise-Unveiling-Backdoors-in-Audio-LLMs-Alignment-Through-Latent-Acoustic-Pa.pdf,AILLM-Safety,pdf,1615424,636c917d38f1d5ef739f9423730700b464e71b6908138f940b4056e2fd9be15f,Hidden in the Noise: Unveiling Backdoors in Audio LLMs Alignment Through Latent Acoustic Pattern Triggers,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40484,40484_SafeNLIDB-A-Privacy-Preserving-Safety-Alignment-Framework-for-LLM-based-Natural-Language-D.pdf,AILLM-Safety/40484_SafeNLIDB-A-Privacy-Preserving-Safety-Alignment-Framework-for-LLM-based-Natural-Language-D.pdf,AILLM-Safety,pdf,603241,714dbf49ac4159000a01c95d4d98fe5f76994a69b3974604d468a258e426e242,SafeNLIDB: A Privacy-Preserving Safety Alignment Framework for LLM-based Natural Language Database Interfaces,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40543,40543_WALKSAFE-Risk-aware-Graph-Random-Walk-with-Bi-GRPO-for-LLM-Safety.pdf,AILLM-Safety/40543_WALKSAFE-Risk-aware-Graph-Random-Walk-with-Bi-GRPO-for-LLM-Safety.pdf,AILLM-Safety,pdf,293696,fe26b30a495cc0177d24d2a7379045e8c9f1fe460ae6e006d30c5bea2d9eb114,WALKSAFE: Risk-aware Graph Random Walk with Bi-GRPO for LLM Safety,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40551,40551_SOM-Directions-Are-Better-than-One-Multi-Directional-Refusal-Suppression-in-Language-Model.pdf,AILLM-Safety/40551_SOM-Directions-Are-Better-than-One-Multi-Directional-Refusal-Suppression-in-Language-Model.pdf,AILLM-Safety,pdf,2060551,0d3250695cbddce3f6595b4cc169ff11e390a85f4d994a5da943fa374e656d91,SOM Directions Are Better than One: Multi-Directional Refusal Suppression in Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40553,40553_MirrorShield-Towards-Dynamic-Adaptive-Defense-Against-Jailbreaks-via-Entropy-Guided-Mirror.pdf,AILLM-Safety/40553_MirrorShield-Towards-Dynamic-Adaptive-Defense-Against-Jailbreaks-via-Entropy-Guided-Mirror.pdf,AILLM-Safety,pdf,1499623,079446e7a0e9a12200f61ce64ae5b8eb67f66395f49ac4415d8960817e26372c,MirrorShield: Towards Dynamic Adaptive Defense Against Jailbreaks via Entropy-Guided Mirror Crafting,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40554,40554_MAJIC-Markovian-Adaptive-Jailbreaking-via-Iterative-Composition-of-Diverse-Innovative-Stra.pdf,AILLM-Safety/40554_MAJIC-Markovian-Adaptive-Jailbreaking-via-Iterative-Composition-of-Diverse-Innovative-Stra.pdf,AILLM-Safety,pdf,2847417,c7cff14267ad8c0eac6664b9c3b9e468ff6a2b363015594223665cbb4e371a37,MAJIC: Markovian Adaptive Jailbreaking via Iterative Composition of Diverse Innovative Strategies,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40607,40607_SafetyReminder-Reviving-Delayed-Safety-Awareness-of-Vision-Language-Models-to-Defend-Again.pdf,AILLM-Safety/40607_SafetyReminder-Reviving-Delayed-Safety-Awareness-of-Vision-Language-Models-to-Defend-Again.pdf,AILLM-Safety,pdf,1286479,c5ad06e7fa0b70bbaeec08bca15fb9bd47b3eb0dac780fa0ea4da66829dfc9b7,SafetyReminder: Reviving Delayed Safety Awareness of Vision-Language Models to Defend Against Jailbreak Attacks,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40785,40785_Safety-Alignment-of-Large-Language-Models-via-Contrasting-Safe-and-Harmful-Distributions.pdf,AILLM-Safety/40785_Safety-Alignment-of-Large-Language-Models-via-Contrasting-Safe-and-Harmful-Distributions.pdf,AILLM-Safety,pdf,445016,53623751b49ce40cfdfe58ffa2eae45fc939f3a8c07d06a63be0cca2a0912d8a,Safety Alignment of Large Language Models via Contrasting Safe and Harmful Distributions (Adversarial Contrastive Decoding),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40836,40836_Response-Attack-Exploiting-Contextual-Priming-to-Jailbreak-Large-Language-Models.pdf,AILLM-Safety/40836_Response-Attack-Exploiting-Contextual-Priming-to-Jailbreak-Large-Language-Models.pdf,AILLM-Safety,pdf,3147473,320244c621a02d371ea881c7400c48ed9fbe4ad6de207ef3669f6ec1851d9ca7,When Safe Unimodal Inputs Collide: Optimizing Reasoning Chains for Cross-Modal Safety in Multimodal Large Language Models (SRPO / SSUI / RSBench),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40840,40840_When-Safe-Unimodal-Inputs-Collide-Optimizing-Reasoning-Chains-for-Cross-Modal-Safety-in-Mu.pdf,AILLM-Safety/40840_When-Safe-Unimodal-Inputs-Collide-Optimizing-Reasoning-Chains-for-Cross-Modal-Safety-in-Mu.pdf,AILLM-Safety,pdf,1944970,fd5c2edc301a2a33e80163f8b9d3183ae86fee5e6aa1c64769538c189989c2f9,Response Attack: Exploiting Contextual Priming to Jailbreak Large Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40841,40841_Failures-to-Surface-Harmful-Contents-in-Video-Large-Language-Models.pdf,AILLM-Safety/40841_Failures-to-Surface-Harmful-Contents-in-Video-Large-Language-Models.pdf,AILLM-Safety,pdf,11464278,39d11f31325dcdef6b4f2590cb75f67131db276ec104e1bea3626c507fb5fe58,Failures to Surface Harmful Contents in Video Large Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40858,40858_Activation-Manipulation-Attack-Penetrating-and-Harmful-Jailbreak-Attack-Against-Large-Visi.pdf,AILLM-Safety/40858_Activation-Manipulation-Attack-Penetrating-and-Harmful-Jailbreak-Attack-Against-Large-Visi.pdf,AILLM-Safety,pdf,4433494,dde274d584a31eeb97e064f16ffdf3b81db3a9421e3edd7c3352d2711860cd03,Activation Manipulation Attack: Penetrating and Harmful Jailbreak Attack against Large Vision-Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40863,40863_Efficient-LLM-Jailbreaking-via-Multimodal-LLM-Jailbreak.pdf,AILLM-Safety/40863_Efficient-LLM-Jailbreaking-via-Multimodal-LLM-Jailbreak.pdf,AILLM-Safety,pdf,488486,e3aab09f1d09923f425cdea8a637d060ff5cbb6e30459eb460ab4a9b09054e41,Efficient LLM-Jailbreaking via Multimodal-LLM Jailbreak,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40866,40866_SceneJailEval-A-Scenario-Adaptive-Multi-Dimensional-Framework-for-Jailbreak-Evaluation.pdf,AILLM-Safety/40866_SceneJailEval-A-Scenario-Adaptive-Multi-Dimensional-Framework-for-Jailbreak-Evaluation.pdf,AILLM-Safety,pdf,434868,26623ca0af864b3d8daf1efc3d1744ce9c477452f4883d11207a14826525bfca,SceneJailEval: A Scenario-Adaptive Multi-Dimensional Framework for Jailbreak Evaluation,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40887,40887_Dynamic-Deep-Prompt-Optimization-for-Defending-Against-Jailbreak-Attacks-on-LLMs.pdf,AILLM-Safety/40887_Dynamic-Deep-Prompt-Optimization-for-Defending-Against-Jailbreak-Attacks-on-LLMs.pdf,AILLM-Safety,pdf,702548,1494c9f13f3d0d67a9c9ae0ee02502cd9e5e1eb0c1d1b8024626809c410a1ef7,Dynamic Deep Prompt Optimization for Defending Against Jailbreak Attacks on LLMs,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40916,40916_MacPrompt-Maraconic-Guided-Jailbreak-Against-Text-to-Image-Models.pdf,AILLM-Safety/40916_MacPrompt-Maraconic-Guided-Jailbreak-Against-Text-to-Image-Models.pdf,AILLM-Safety,pdf,3425107,bedd83fbb3ee1e651d788e8e4f19a355c6413e2318341ac6aa596c722a5ea62a,MacPrompt: Macaronic-guided Jailbreak against Text-to-Image Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40919,40919_Reason2Attack-Jailbreaking-Text-to-Image-Models-via-LLM-Reasoning.pdf,AILLM-Safety/40919_Reason2Attack-Jailbreaking-Text-to-Image-Models-via-LLM-Reasoning.pdf,AILLM-Safety,pdf,761136,5824c514b0472f6b1e72c28098b52af3891aaa3de782a9011a57e53365b0b3e0,Reason2Attack: Jailbreaking Text-to-Image Models via LLM Reasoning,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40920,40920_T2I-RiskyPrompt-A-Benchmark-for-Safety-Evaluation-Attack-and-Defense-on-Text-to-Image-Mode.pdf,AILLM-Safety/40920_T2I-RiskyPrompt-A-Benchmark-for-Safety-Evaluation-Attack-and-Defense-on-Text-to-Image-Mode.pdf,AILLM-Safety,pdf,859730,ebe8dfe446f589565a82de1dba3ee6ce031e927e099e5671c1ce0b13ed84cd04,"T2I-RiskyPrompt: A Benchmark for Safety Evaluation, Attack, and Defense on Text-to-Image Model",,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A40940,40940_Universal-Safety-Controllers-with-Learned-Prophecies.pdf,AILLM-Safety/40940_Universal-Safety-Controllers-with-Learned-Prophecies.pdf,AILLM-Safety,pdf,302502,2cd4ac569a7feafe4623e5f1411cec1c6e7f5fd464630298f743fbdf3aa8a0e6,Universal Safety Controllers with Learned Prophecies,,2026,AAAI-26,,,,True,True,10,ok,high,,,card-present,
A41058,41058_MetaCipher-A-Time-Persistent-and-Universal-Multi-Agent-Framework-for-Cipher-Based-Jailbrea.pdf,AILLM-Safety/41058_MetaCipher-A-Time-Persistent-and-Universal-Multi-Agent-Framework-for-Cipher-Based-Jailbrea.pdf,AILLM-Safety,pdf,1126472,f11e7f68b0e3b390dc96c21a140a8d4d681c26e84499ded6bb2cc5a5541860e4,MetaCipher: A Time-Persistent and Universal Multi-Agent Framework for Cipher-Based Jailbreak Attacks for LLMs,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41074,41074_AlignTree-Efficient-Defense-Against-LLM-Jailbreak-Attacks.pdf,AILLM-Safety/41074_AlignTree-Efficient-Defense-Against-LLM-Jailbreak-Attacks.pdf,AILLM-Safety,pdf,178340,7cf677b31fd548158799d1516c713d7d01e3d7a01dc62327f33541ca1970d0bb,AlignTree: Efficient Defense Against LLM Jailbreak Attacks,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41086,41086_Beautiful-Images-Toxic-Words-Understanding-and-Addressing-Offensive-Text-in-Generated-Imag.pdf,AILLM-Safety/41086_Beautiful-Images-Toxic-Words-Understanding-and-Addressing-Offensive-Text-in-Generated-Imag.pdf,AILLM-Safety,pdf,8496031,7609198efaaeb1ba664b6125c9706cbb451db6e330af59c115cec5d6134d7cd7,"Beautiful Images, Toxic Words: Understanding and Addressing Offensive Text in Generated Images",,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41087,41087_Cost-Minimized-Label-Flipping-Poisoning-Attack-to-LLM-Alignment.pdf,AILLM-Safety/41087_Cost-Minimized-Label-Flipping-Poisoning-Attack-to-LLM-Alignment.pdf,AILLM-Safety,pdf,244678,49020b5c3d15eb301a34753777ca9b75770cf7a8cb683386e3f8a5949aa76435,Cost-Minimized Label-Flipping Poisoning Attack to LLM Alignment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41088,41088_Dropouts-in-Confidence-Moral-Uncertainty-in-Human-LLM-Alignment.pdf,AILLM-Safety/41088_Dropouts-in-Confidence-Moral-Uncertainty-in-Human-LLM-Alignment.pdf,AILLM-Safety,pdf,2478427,4456f1fd9f5dc4620c5f1c8847fb006d1a8403d841c9e691c448495a5338dc9f,Dropouts in Confidence: Moral Uncertainty in Human-LLM Alignment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41090,41090_MobileSafetyBench-Evaluating-Safety-of-Autonomous-Agents-in-Mobile-Device-Control.pdf,AILLM-Safety/41090_MobileSafetyBench-Evaluating-Safety-of-Autonomous-Agents-in-Mobile-Device-Control.pdf,AILLM-Safety,pdf,2745294,764847630c116e4cca9a62a1f4b09b46e073b087a974962f5ccbff9e322557bc,MobileSafetyBench: Evaluating Safety of Autonomous Agents in Mobile Device Control,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41093,41093_StyleBreak-Revealing-Alignment-Vulnerabilities-in-Large-Audio-Language-Models-via-Style-Aw.pdf,AILLM-Safety/41093_StyleBreak-Revealing-Alignment-Vulnerabilities-in-Large-Audio-Language-Models-via-Style-Aw.pdf,AILLM-Safety,pdf,1892510,b5842d0c3760c40ba0682bce7a8d91413cf7071586a424d6344d3795733acb34,StyleBreak: Revealing Alignment Vulnerabilities in Large Audio-Language Models via Style-Aware Audio Jailbreak,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41118,41118_AdvBDGen-A-Robust-Framework-for-Generating-Adaptive-and-Stealthy-Backdoors-in-LLM-Alignmen.pdf,AILLM-Safety/41118_AdvBDGen-A-Robust-Framework-for-Generating-Adaptive-and-Stealthy-Backdoors-in-LLM-Alignmen.pdf,AILLM-Safety,pdf,286359,dbe21153f7b1a0254ccb50aa5c0c53a1181b7b825dbaa799e2b4c8bb0ea2510b,AdvBDGen: A Robust Framework for Generating Adaptive and Stealthy Backdoors in LLM Alignment,,2026,AAAI-26,,,,True,True,10,ok,high,,,card-present,
A41119,41119_Beyond-Im-Sorry-I-Cant-Dissecting-Large-Language-Model-Refusal.pdf,AILLM-Safety/41119_Beyond-Im-Sorry-I-Cant-Dissecting-Large-Language-Model-Refusal.pdf,AILLM-Safety,pdf,644053,947ae3fe56797c422bcf3cecc89f03f94e206ebe9d72fe3569a88a2d93e35c18,"Beyond I'm Sorry, I Can't: Dissecting Large-Language-Model Refusal",,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A41129,41129_EASE-Practical-and-Efficient-Safety-Alignment-for-Small-Language-Models.pdf,AILLM-Safety/41129_EASE-Practical-and-Efficient-Safety-Alignment-for-Small-Language-Models.pdf,AILLM-Safety,pdf,1418727,7e2d347d7b712a23f878f78534854748453c006d2b66e8be34b615fa29c7702d,EASE: Practical and Efficient Safety Alignment for Small Language Models,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
